sample,chrom,bin,n_softclipped_reads,median_softclip,max_softclip,region
sample2,9,87482000,1,42.0,42,chr9:87482000
sample2,9,108469000,1,21.0,21,chr9:108469000
sample2,9,111314000,1,17.0,17,chr9:111314000
sample2,9,134288000,1,19.0,19,chr9:134288000
sample2,9,135261000,1,29.0,29,chr9:135261000
sample2,9,135267000,1,30.0,30,chr9:135267000
sample2,GL000220.1,105000,1,17.0,17,chrGL000220.1:105000
sample2,GL000220.1,107000,1,19.0,19,chrGL000220.1:107000
sample2,GL000220.1,145000,1,128.0,128,chrGL000220.1:145000
sample2,GL000220.1,149000,1,17.0,17,chrGL000220.1:149000
sample2,GL000220.1,151000,1,19.0,19,chrGL000220.1:151000
sample2,GL000237.1,9000,1,15.0,15,chrGL000237.1:9000
sample2,MT,8000,1,130.0,130,chrMT:8000
sample2,MT,15000,1,130.0,130,chrMT:15000
sample2,X,22041000,1,20.0,20,chrX:22041000
sample2,X,46459000,1,18.0,18,chrX:46459000
sample2,X,53566000,1,18.0,18,chrX:53566000
sample2,X,73224000,1,20.0,20,chrX:73224000
sample2,X,80503000,1,20.0,20,chrX:80503000
sample2,Y,2725000,1,36.0,36,chrY:2725000
sample3,11,69456000,2490,22.0,67,chr11:69456000
sample3,11,69457000,1519,21.0,66,chr11:69457000
sample3,GL000220.1,109000,1504,128.0,151,chrGL000220.1:109000
sample3,GL000220.1,153000,1390,127.0,151,chrGL000220.1:153000
sample3,19,41765000,1049,18.0,49,chr19:41765000
sample3,6,117650000,775,15.0,16,chr6:117650000
sample3,GL000220.1,117000,652,130.0,151,chrGL000220.1:117000
sample3,GL000220.1,113000,622,130.0,151,chrGL000220.1:113000
sample3,10,61665000,603,35.0,37,chr10:61665000
sample3,GL000220.1,110000,570,130.0,151,chrGL000220.1:110000
sample3,7,140500000,568,22.0,31,chr7:140500000
sample3,12,52636000,504,19.0,56,chr12:52636000
sample3,GL000220.1,154000,486,130.0,151,chrGL000220.1:154000
sample3,19,34890000,382,21.0,51,chr19:34890000
sample3,GL000220.1,114000,378,130.0,151,chrGL000220.1:114000
sample3,GL000220.1,115000,375,130.0,151,chrGL000220.1:115000
sample3,GL000220.1,112000,366,75.0,151,chrGL000220.1:112000
sample3,11,533000,279,17.0,40,chr11:533000
sample3,19,41758000,254,25.0,49,chr19:41758000
sample3,3,128525000,252,20.5,42,chr3:128525000
sample3,GL000220.1,161000,238,20.0,33,chrGL000220.1:161000
sample3,GL000220.1,157000,237,21.0,30,chrGL000220.1:157000
sample3,7,116312000,226,19.0,47,chr7:116312000
sample3,19,41754000,220,22.0,33,chr19:41754000
sample3,GL000220.1,158000,215,20.0,29,chrGL000220.1:158000
sample3,7,116335000,190,31.0,39,chr7:116335000
sample3,GL000220.1,159000,182,21.0,24,chrGL000220.1:159000
sample3,4,25665000,172,43.0,46,chr4:25665000
sample3,21,9827000,159,21.0,36,chr21:9827000
sample3,12,52629000,149,20.0,26,chr12:52629000
sample3,20,57484000,142,20.0,53,chr20:57484000
sample3,GL000220.1,116000,140,115.0,151,chrGL000220.1:116000
sample3,7,116380000,136,19.0,45,chr7:116380000
sample3,10,43613000,130,27.0,27,chr10:43613000
sample3,19,41762000,122,21.0,27,chr19:41762000
sample3,7,55242000,119,16.0,37,chr7:55242000
sample3,11,534000,115,20.0,26,chr11:534000
sample3,GL000220.1,118000,113,129.0,151,chrGL000220.1:118000
sample3,11,69458000,112,21.0,45,chr11:69458000
sample3,19,41763000,94,21.0,47,chr19:41763000
sample3,7,116411000,91,19.0,42,chr7:116411000
sample3,9,35059000,88,21.0,34,chr9:35059000
sample3,6,144508000,81,15.0,42,chr6:144508000
sample3,7,116340000,79,21.0,37,chr7:116340000
sample3,19,41745000,78,20.5,43,chr19:41745000
sample3,19,41727000,71,21.0,37,chr19:41727000
sample3,12,25398000,68,15.0,36,chr12:25398000
sample3,19,55623000,68,20.0,21,chr19:55623000
sample3,GL000220.1,156000,68,37.0,38,chrGL000220.1:156000
sample3,14,105246000,64,21.0,36,chr14:105246000
sample3,2,29445000,64,15.0,48,chr2:29445000
sample3,7,116415000,63,21.0,37,chr7:116415000
sample3,3,41266000,61,21.0,33,chr3:41266000
sample3,7,140508000,60,42.0,42,chr7:140508000
sample3,MT,2000,60,64.0,151,chrMT:2000
sample3,20,57485000,55,44.0,44,chr20:57485000
sample3,17,37880000,54,21.0,37,chr17:37880000
sample3,1,91852000,52,21.0,24,chr1:91852000
sample3,11,69462000,52,20.0,41,chr11:69462000
sample3,15,90631000,51,21.0,50,chr15:90631000
sample3,7,55241000,42,19.0,40,chr7:55241000
sample3,2,33141000,40,31.5,49,chr2:33141000
sample3,12,20704000,38,21.0,36,chr12:20704000
sample3,1,115258000,37,18.0,25,chr1:115258000
sample3,19,41744000,35,40.0,40,chr19:41744000
sample3,8,127569000,35,22.0,46,chr8:127569000
sample3,4,1808000,34,21.0,29,chr4:1808000
sample3,GL000220.1,160000,34,21.0,23,chrGL000220.1:160000
sample3,10,123239000,33,21.0,36,chr10:123239000
sample3,11,69465000,31,38.0,38,chr11:69465000
sample3,7,116371000,31,21.0,29,chr7:116371000
sample3,15,42511000,30,21.0,21,chr15:42511000
sample3,7,140481000,30,16.0,21,chr7:140481000
sample3,8,38271000,30,20.5,38,chr8:38271000
sample3,1,115256000,28,18.0,45,chr1:115256000
sample3,7,55249000,27,20.0,32,chr7:55249000
sample3,15,66729000,26,20.0,21,chr15:66729000
sample3,7,116381000,26,20.5,64,chr7:116381000
sample3,9,35057000,26,20.0,42,chr9:35057000
sample3,8,38277000,25,17.0,37,chr8:38277000
sample3,4,1806000,24,28.5,36,chr4:1806000
sample3,13,112951000,22,18.0,22,chr13:112951000
sample3,19,59063000,21,20.0,69,chr19:59063000
sample3,3,12650000,21,20.0,24,chr3:12650000
sample3,3,128516000,21,20.0,39,chr3:128516000
sample3,7,139301000,21,20.0,20,chr7:139301000
sample3,8,70602000,21,21.0,22,chr8:70602000
sample3,10,43615000,20,27.5,34,chr10:43615000
sample3,7,116417000,20,20.0,21,chr7:116417000
sample3,3,12645000,19,19.0,23,chr3:12645000
sample3,6,117642000,19,19.0,21,chr6:117642000
sample3,2,23682000,18,17.0,17,chr2:23682000
sample3,7,116435000,18,21.0,46,chr7:116435000
sample3,17,33478000,17,19.0,19,chr17:33478000
sample3,2,209110000,17,21.0,22,chr2:209110000
sample3,17,37881000,16,20.0,28,chr17:37881000
sample3,3,12641000,16,21.0,27,chr3:12641000
sample3,7,32960000,16,27.0,27,chr7:32960000
sample3,7,55221000,16,18.5,34,chr7:55221000
sample3,12,52639000,15,15.0,21,chr12:52639000
sample3,8,38279000,15,18.0,42,chr8:38279000
sample3,3,41265000,14,25.0,29,chr3:41265000
sample3,7,116339000,14,19.0,21,chr7:116339000
sample3,MT,3000,14,45.0,130,chrMT:3000
sample3,7,140482000,13,19.0,25,chr7:140482000
sample3,11,69455000,12,23.0,33,chr11:69455000
sample3,3,12633000,12,30.0,30,chr3:12633000
sample3,7,140494000,12,21.0,23,chr7:140494000
sample3,10,123310000,11,21.0,35,chr10:123310000
sample3,12,25380000,11,19.0,21,chr12:25380000
sample3,20,3194000,11,15.0,15,chr20:3194000
sample3,3,12434000,11,21.0,43,chr3:12434000
sample3,3,12647000,11,20.0,31,chr3:12647000
sample3,4,1805000,11,19.0,21,chr4:1805000
sample3,7,55220000,11,17.0,23,chr7:55220000
sample3,8,38273000,11,18.0,50,chr8:38273000
sample3,13,112947000,10,18.0,22,chr13:112947000
sample3,15,66727000,10,21.0,29,chr15:66727000
sample3,19,41726000,10,36.0,40,chr19:41726000
sample3,19,41736000,10,21.0,40,chr19:41736000
sample3,2,43625000,10,18.5,32,chr2:43625000
sample3,7,55259000,10,20.0,32,chr7:55259000
sample3,7,116412000,10,20.5,85,chr7:116412000
sample3,8,38283000,10,20.0,22,chr8:38283000
sample3,12,52635000,9,40.0,43,chr12:52635000
sample3,17,39036000,9,21.0,22,chr17:39036000
sample3,2,43547000,9,20.0,21,chr2:43547000
sample3,2,43712000,9,21.0,23,chr2:43712000
sample3,MT,0,9,130.0,151,chrMT:0
sample3,10,43612000,8,21.0,43,chr10:43612000
sample3,6,117641000,8,25.0,47,chr6:117641000
sample3,7,55248000,8,21.0,24,chr7:55248000
sample3,7,116364000,8,17.0,18,chr7:116364000
sample3,7,116409000,8,21.0,21,chr7:116409000
sample3,13,112938000,7,18.0,22,chr13:112938000
sample3,19,54006000,7,17.0,17,chr19:54006000
sample3,2,209109000,7,33.0,35,chr2:209109000
sample3,20,57478000,7,30.0,30,chr20:57478000
sample3,3,12447000,7,16.0,21,chr3:12447000
sample3,6,17097000,7,16.0,16,chr6:17097000
sample3,7,140487000,7,21.0,21,chr7:140487000
sample3,2,43725000,6,19.0,21,chr2:43725000
sample3,3,41241000,6,23.0,24,chr3:41241000
sample3,9,135271000,6,20.0,25,chr9:135271000
sample3,GL000220.1,107000,6,120.0,149,chrGL000220.1:107000
sample3,12,12227000,5,19.0,19,chr12:12227000
sample3,12,25378000,5,19.0,21,chr12:25378000
sample3,12,52632000,5,31.0,44,chr12:52632000
sample3,14,50053000,5,21.0,21,chr14:50053000
sample3,3,12632000,5,22.0,28,chr3:12632000
sample3,6,117639000,5,19.0,22,chr6:117639000
sample3,7,140477000,5,20.0,21,chr7:140477000
sample3,8,38285000,5,18.0,20,chr8:38285000
sample3,GL000220.1,150000,5,150.0,151,chrGL000220.1:150000
sample3,GL000220.1,151000,5,111.0,132,chrGL000220.1:151000
sample3,11,42650000,4,16.0,16,chr11:42650000
sample3,11,63314000,4,20.0,20,chr11:63314000
sample3,14,104158000,4,21.0,21,chr14:104158000
sample3,17,38146000,4,15.0,15,chr17:38146000
sample3,3,12353000,4,31.0,32,chr3:12353000
sample3,3,12386000,4,31.0,31,chr3:12386000
sample3,3,49314000,4,20.0,21,chr3:49314000
sample3,3,185655000,4,15.0,15,chr3:185655000
sample3,5,71146000,4,21.0,21,chr5:71146000
sample3,GL000220.1,106000,4,140.0,151,chrGL000220.1:106000
sample3,10,43609000,3,18.0,44,chr10:43609000
sample3,12,51390000,3,18.0,18,chr12:51390000
sample3,12,52631000,3,21.0,29,chr12:52631000
sample3,13,51311000,3,24.0,24,chr13:51311000
sample3,14,50329000,3,21.0,21,chr14:50329000
sample3,14,105259000,3,15.0,24,chr14:105259000
sample3,15,88524000,3,19.0,19,chr15:88524000
sample3,16,84481000,3,16.0,24,chr16:84481000
sample3,19,41748000,3,26.0,44,chr19:41748000
sample3,3,12421000,3,19.0,19,chr3:12421000
sample3,4,1807000,3,46.0,46,chr4:1807000
sample3,9,13129000,3,18.0,18,chr9:13129000
sample3,MT,1000,3,83.0,127,chrMT:1000
sample3,1,9787000,2,15.0,15,chr1:9787000
sample3,1,44063000,2,18.0,18,chr1:44063000
sample3,1,91853000,2,18.5,21,chr1:91853000
sample3,1,162746000,2,20.5,21,chr1:162746000
sample3,1,205688000,2,19.0,19,chr1:205688000
sample3,1,209795000,2,19.0,19,chr1:209795000
sample3,10,43572000,2,20.0,20,chr10:43572000
sample3,10,43607000,2,20.5,22,chr10:43607000
sample3,10,43614000,2,23.0,29,chr10:43614000
sample3,10,75554000,2,19.0,19,chr10:75554000
sample3,10,123263000,2,21.0,21,chr10:123263000
sample3,10,123357000,2,23.5,30,chr10:123357000
sample3,11,10530000,2,21.0,21,chr11:10530000
sample3,11,34340000,2,21.0,21,chr11:34340000
sample3,12,66451000,2,39.5,40,chr12:66451000
sample3,12,113603000,2,18.0,18,chr12:113603000
sample3,12,113823000,2,21.0,21,chr12:113823000
sample3,12,124826000,2,18.0,18,chr12:124826000
sample3,13,112962000,2,18.0,18,chr13:112962000
sample3,14,20811000,2,19.5,21,chr14:20811000
sample3,14,64921000,2,15.0,15,chr14:64921000
sample3,14,103806000,2,18.0,18,chr14:103806000
sample3,14,105241000,2,24.0,24,chr14:105241000
sample3,15,32961000,2,18.0,18,chr15:32961000
sample3,17,3846000,2,20.0,20,chr17:3846000
sample3,19,19701000,2,21.0,21,chr19:19701000
sample3,19,41749000,2,38.0,60,chr19:41749000
sample3,2,29432000,2,19.5,20,chr2:29432000
sample3,2,43520000,2,40.5,44,chr2:43520000
sample3,2,43655000,2,43.0,69,chr2:43655000
sample3,2,209112000,2,27.0,29,chr2:209112000
sample3,20,57480000,2,20.0,20,chr20:57480000
sample3,4,7770000,2,21.0,21,chr4:7770000
sample3,5,21635000,2,19.0,21,chr5:21635000
sample3,6,29913000,2,17.0,17,chr6:29913000
sample3,6,34213000,2,19.0,19,chr6:34213000
sample3,6,52860000,2,20.0,20,chr6:52860000
sample3,6,55377000,2,20.0,20,chr6:55377000
sample3,6,117645000,2,22.5,25,chr6:117645000
sample3,7,1484000,2,20.0,20,chr7:1484000
sample3,7,116423000,2,30.0,37,chr7:116423000
sample3,7,158760000,2,22.0,22,chr7:158760000
sample3,8,38275000,2,17.0,18,chr8:38275000
sample3,8,38315000,2,21.0,21,chr8:38315000
sample3,9,112150000,2,21.0,21,chr9:112150000
sample3,9,130315000,2,20.0,20,chr9:130315000
sample3,9,132585000,2,32.0,32,chr9:132585000
sample3,GL000220.1,111000,2,138.5,147,chrGL000220.1:111000
sample3,GL000220.1,123000,2,138.5,147,chrGL000220.1:123000
sample3,GL000220.1,132000,2,66.5,67,chrGL000220.1:132000
sample3,MT,6000,2,140.5,151,chrMT:6000
sample3,MT,9000,2,139.5,149,chrMT:9000
sample3,1,6292000,1,17.0,17,chr1:6292000
sample3,1,90526000,1,21.0,21,chr1:90526000
sample3,1,109642000,1,20.0,20,chr1:109642000
sample3,1,115252000,1,20.0,20,chr1:115252000
sample3,1,156090000,1,21.0,21,chr1:156090000
sample3,1,228284000,1,22.0,22,chr1:228284000
sample3,1,241559000,1,19.0,19,chr1:241559000
sample3,1,247822000,1,23.0,23,chr1:247822000
sample3,10,22055000,1,21.0,21,chr10:22055000
sample3,10,35625000,1,21.0,21,chr10:35625000
sample3,10,50758000,1,16.0,16,chr10:50758000
sample3,10,95115000,1,21.0,21,chr10:95115000
sample3,10,100202000,1,21.0,21,chr10:100202000
sample3,10,123243000,1,39.0,39,chr10:123243000
sample3,10,123324000,1,23.0,23,chr10:123324000
sample3,10,123353000,1,42.0,42,chr10:123353000
sample3,10,131506000,1,21.0,21,chr10:131506000
sample3,11,1024000,1,21.0,21,chr11:1024000
sample3,11,65272000,1,19.0,19,chr11:65272000
sample3,11,67200000,1,18.0,18,chr11:67200000
sample3,11,108675000,1,18.0,18,chr11:108675000
sample3,11,113579000,1,16.0,16,chr11:113579000
sample3,11,115153000,1,20.0,20,chr11:115153000
sample3,11,118590000,1,18.0,18,chr11:118590000
sample3,12,13067000,1,35.0,35,chr12:13067000
sample3,12,52590000,1,123.0,123,chr12:52590000
sample3,13,21557000,1,23.0,23,chr13:21557000
sample3,13,109920000,1,18.0,18,chr13:109920000
sample3,13,112954000,1,18.0,18,chr13:112954000
sample3,13,112956000,1,18.0,18,chr13:112956000
sample3,13,112960000,1,18.0,18,chr13:112960000
sample3,14,21729000,1,20.0,20,chr14:21729000
sample3,14,105258000,1,28.0,28,chr14:105258000
sample3,16,51135000,1,18.0,18,chr16:51135000
sample3,16,84216000,1,29.0,29,chr16:84216000
sample3,17,4445000,1,21.0,21,chr17:4445000
sample3,17,27047000,1,21.0,21,chr17:27047000
sample3,17,44415000,1,16.0,16,chr17:44415000
sample3,17,44633000,1,16.0,16,chr17:44633000
sample3,17,73890000,1,21.0,21,chr17:73890000
sample3,17,75487000,1,22.0,22,chr17:75487000
sample3,18,63352000,1,21.0,21,chr18:63352000
sample3,19,1821000,1,21.0,21,chr19:1821000
sample3,19,39440000,1,21.0,21,chr19:39440000
sample3,19,41743000,1,15.0,15,chr19:41743000
sample3,19,42365000,1,17.0,17,chr19:42365000
sample3,19,46227000,1,21.0,21,chr19:46227000
sample3,2,29420000,1,19.0,19,chr2:29420000
sample3,2,29430000,1,47.0,47,chr2:29430000
sample3,2,29443000,1,19.0,19,chr2:29443000
sample3,2,43571000,1,21.0,21,chr2:43571000
sample3,2,65376000,1,18.0,18,chr2:65376000
sample3,2,142356000,1,17.0,17,chr2:142356000
sample3,2,177831000,1,19.0,19,chr2:177831000
sample3,20,1370000,1,18.0,18,chr20:1370000
sample3,21,30991000,1,19.0,19,chr21:30991000
sample3,22,36747000,1,16.0,16,chr22:36747000
sample3,3,12329000,1,21.0,21,chr3:12329000
sample3,3,12475000,1,38.0,38,chr3:12475000
sample3,3,15780000,1,21.0,21,chr3:15780000
sample3,3,128526000,1,17.0,17,chr3:128526000
sample3,3,187098000,1,16.0,16,chr3:187098000
sample3,4,1801000,1,35.0,35,chr4:1801000
sample3,4,25664000,1,19.0,19,chr4:25664000
sample3,5,14595000,1,21.0,21,chr5:14595000
sample3,5,135049000,1,20.0,20,chr5:135049000
sample3,5,136324000,1,18.0,18,chr5:136324000
sample3,5,154334000,1,20.0,20,chr5:154334000
sample3,6,21595000,1,16.0,16,chr6:21595000
sample3,6,26123000,1,21.0,21,chr6:26123000
sample3,6,31612000,1,16.0,16,chr6:31612000
sample3,6,117638000,1,21.0,21,chr6:117638000
sample3,6,117658000,1,20.0,20,chr6:117658000
sample3,7,55240000,1,16.0,16,chr7:55240000
sample3,7,56148000,1,21.0,21,chr7:56148000
sample3,7,116403000,1,30.0,30,chr7:116403000
sample3,7,119229000,1,20.0,20,chr7:119229000
sample3,7,134424000,1,16.0,16,chr7:134424000
sample3,7,140453000,1,16.0,16,chr7:140453000
sample3,7,140501000,1,19.0,19,chr7:140501000
sample3,8,32453000,1,20.0,20,chr8:32453000
sample3,8,97068000,1,19.0,19,chr8:97068000
sample3,9,9442000,1,21.0,21,chr9:9442000
sample3,9,35657000,1,21.0,21,chr9:35657000
sample3,9,87482000,1,20.0,20,chr9:87482000
sample3,9,100745000,1,16.0,16,chr9:100745000
sample3,9,135273000,1,20.0,20,chr9:135273000
sample3,GL000220.1,128000,1,64.0,64,chrGL000220.1:128000
sample3,GL000220.1,155000,1,20.0,20,chrGL000220.1:155000
